name,date,price,views,link
iPhone 8 + Cube mix plus + S7 edge,16/05/2020 06:16  μμ,"
										
											1,00 €
										
									",886,https://www.insomnia.gr/classifieds/item/1383864-iphone-8-cube-mix-plus-s7-edge/
iphone 11 pro 64gb space grey ανταλλαγή με Pro Max Green,,"
										
											1,00 €
										
									",300,https://www.insomnia.gr/classifieds/item/1556377-iphone-11-pro-64gb-space-grey-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AE-%CE%BC%CE%B5-pro-max-green/
iPhone 11 Pro Max 64 + AirPods 2 gen +4 θήκες,16/05/2020 07:15  μμ,"
										
											1.000,00 €
										
									",845,https://www.insomnia.gr/classifieds/item/1530064-iphone-11-pro-max-64-airpods-2-gen-4-%CE%B8%CE%AE%CE%BA%CE%B5%CF%82/
I phone 11 pro max 64Gb,16/05/2020 07:29  μμ,"
										
											1.080,00 €
										
									",101,https://www.insomnia.gr/classifieds/item/1578888-i-phone-11-pro-max-64gb/
Apple iPhone SE 16GB black / Θεσσαλονίκη,16/05/2020 07:46  μμ,"
										
											100,00 €
										
									",54,https://www.insomnia.gr/classifieds/item/1578900-apple-iphone-se-16gb-black-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%AF%CE%BA%CE%B7/
Apple iPhone 6s Gold 16GB - αδυναμια ενεργοποιησης - Θεσσαλονικη,16/05/2020 07:53  μμ,"
										
											70,00 €
										
									",407,https://www.insomnia.gr/classifieds/item/1569407-apple-iphone-6s-gold-16gb-%CE%B1%CE%B4%CF%85%CE%BD%CE%B1%CE%BC%CE%B9%CE%B1-%CE%B5%CE%BD%CE%B5%CF%81%CE%B3%CE%BF%CF%80%CE%BF%CE%B9%CE%B7%CF%83%CE%B7%CF%82-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%B9%CE%BA%CE%B7/
ΠΑΙΔΙΑ ΠΡΟΣΟΧΗ ΑΠΑΤΑΕΩΝΑΣ,,"
										
											Επικοινωνία
										
									",871,https://www.insomnia.gr/classifieds/item/1578532-%CF%80%CE%B1%CE%B9%CE%B4%CE%B9%CE%B1-%CF%80%CF%81%CE%BF%CF%83%CE%BF%CF%87%CE%B7-%CE%B1%CF%80%CE%B1%CF%84%CE%B1%CE%B5%CF%89%CE%BD%CE%B1%CF%83/
Iphone 11,,"
										
											600,00 €
										
									",180,https://www.insomnia.gr/classifieds/item/1578539-iphone-11/
iPhone 4 16GB κλειδωμένο σε icloud,16/05/2020 10:10  πμ,"
										
											30,00 €
										
									",124,https://www.insomnia.gr/classifieds/item/1568309-iphone-4-16gb-%CE%BA%CE%BB%CE%B5%CE%B9%CE%B4%CF%89%CE%BC%CE%AD%CE%BD%CE%BF-%CF%83%CE%B5-icloud/
IPhone 11 Pro 64gb space grey (ΣΦΡΑΓΙΣΜΕΝΟ) και ΑΝΤΑΛΛΑΓΗ,16/05/2020 10:27  πμ,"
										
											949,00 €
										
									",223,https://www.insomnia.gr/classifieds/item/1578546-iphone-11-pro-64gb-space-grey-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%BF-%CE%BA%CE%B1%CE%B9-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%B7/
iPhone 8 64GB BLACK,16/05/2020 11:05  πμ,"
										
											300,00 €
										
									",107,https://www.insomnia.gr/classifieds/item/1578564-iphone-8-64gb-black/
iPhone X 256gb (Space Grey),16/05/2020 11:08  πμ,"
										
											420,00 €
										
									",434,https://www.insomnia.gr/classifieds/item/1574312-iphone-x-256gb-space-grey/
iphone 7 plus,16/05/2020 11:23  πμ,"
										
											300,00 €
										
									",78,https://www.insomnia.gr/classifieds/item/1578576-iphone-7-plus/
"IPhone 4, Galaxy Note 2 , Nokia C7",16/05/2020 11:33  πμ,"
										
											25,00 €
										
									",68,https://www.insomnia.gr/classifieds/item/1578585-iphone-4-galaxy-note-2-nokia-c7/
Nikon Coolpix P1000 η ανταλλαγή με iphone.,16/05/2020 11:57  πμ,"
										
											650,00 €
										
									",47,https://www.insomnia.gr/classifieds/item/1578601-nikon-coolpix-p1000-%CE%B7-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AE-%CE%BC%CE%B5-iphone/
iPhone 6S Plus 16GB ΑΨΟΓΟ ΜΕ ΕΞΤΡΑ!,16/05/2020 11:58  πμ,"
										
											150,00 €
										
									",125,https://www.insomnia.gr/classifieds/item/1578602-iphone-6s-plus-16gb-%CE%B1%CF%88%CE%BF%CE%B3%CE%BF-%CE%BC%CE%B5-%CE%B5%CE%BE%CF%84%CF%81%CE%B1/
apple leather case iphone x black,16/05/2020 12:01  μμ,"
										
											25,00 €
										
									",260,https://www.insomnia.gr/classifieds/item/1562084-apple-leather-case-iphone-x-black/
iphone se + bluetooth ακούστηκα - Μεγάλη Ευκαιρία!!!,16/05/2020 12:08  μμ,"
										
											115,00 €
										
									",354,https://www.insomnia.gr/classifieds/item/1564701-iphone-se-bluetooth-%CE%B1%CE%BA%CE%BF%CF%8D%CF%83%CF%84%CE%B7%CE%BA%CE%B1-%CE%BC%CE%B5%CE%B3%CE%AC%CE%BB%CE%B7-%CE%B5%CF%85%CE%BA%CE%B1%CE%B9%CF%81%CE%AF%CE%B1/
Xiaomi mi 9 ανταλλαγή με iPhone xs/xs max/ 11,16/05/2020 12:09  μμ,"
										
											300,00 €
										
									",44,https://www.insomnia.gr/classifieds/item/1578606-xiaomi-mi-9-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AE-%CE%BC%CE%B5-iphone-xsxs-max-11/
